idfruta;nomefruta;kcal;kJ;Proteína;Lipídeos;Carboidratos;Fibra;Cálcio;Magnésio;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C;;;;;;;;
48;Laranja, da terra, crua;51;215;1,1;0,2;12,9;4,0;51;14;0,04;20;0,1;1;173;0,04;0,2;0,07;0,09;0,03;Tr;34,7;;;;;;;;
49;Laranja, da terra, suco;41;171;0,7;0,1;9,6;1,0;13;10;0,02;15;0,1;Tr;145;0,02;0,1;0,04;Tr;0,04;Tr;44,3;;;;;;;;
50;Laranja, lima, crua;46;191;1,1;0,1;11,5;1,8;31;10;0,05;15;0,1;1;130;0,03;0,1;0,09;0,05;0,04;Tr;43,5;;;;;;;;
51;Laranja, lima, suco;39;165;0,7;0,1;9,2;0,4;8;11;0,02;16;Tr;Tr;129;0,02;0,0;0,10;0,03;0,04;Tr;41,3;;;;;;;;
52;Laranja, pêra, crua;37;154;1,0;0,1;8,9;0,8;22;9;0,05;23;0,1;Tr;163;0,03;0,1;0,07;0,02;0,02;Tr;53,7;;;;;;;;
53;Laranja, pêra, suco;33;137;0,7;0,1;7,6;Tr;7;8;0,03;14;Tr;Tr;149;0,01;Tr;Tr;Tr;Tr;Tr;73,3;;;;;;;;
54;Laranja, valência, crua;46;193;0,8;0,2;11,7;1,7;34;14;0,06;20;0,1;1;158;0,04;0,1;0,07;0,04;0,03;Tr;47,8;;;;;;;;
55;Laranja, valência, suco;36;151;0,5;0,1;8,6;0,4;9;10;0,03;17;Tr;Tr;143;0,02;Tr;*;*;0,03;Tr;*;;;;;;;;
56;Limão, cravo, suco;14;59;0,3;Tr;5,2;Tr;10;9;0,03;11;0,1;Tr;120;0,03;;Tr;Tr;Tr;Tr;32,8;;;;;;;;
57;Limão, galego, suco;22;93;0,6;0,1;7,3;Tr;5;6;0,01;13;0,1;Tr;113;0,02;0,1;Tr;Tr;0,03;Tr;34,5;;;;;;;;
